model,ds_ns,speed_kmh,period_slots,omega_per_frame,horizon,pred_nmse_db,zoh_nmse_db,filt_nmse_db
cdl_c,300.0,60,80,48.90305051220591,16,2.7708252047268593,3.010245808897846,-18.043665372784304
cdl_c,300.0,60,80,48.90305051220591,32,2.86579794473129,2.944261614853331,-18.043665372784304
cdl_c,300.0,120,10,12.225762628051477,1,1.5113269033454522,2.3688959491926718,-18.27843679474646
cdl_c,300.0,120,10,12.225762628051477,2,2.060487727188355,3.266435490581099,-18.27843679474646
cdl_c,300.0,120,10,12.225762628051477,4,2.8244402771518025,3.1139444681190587,-18.27843679474646
cdl_c,300.0,120,10,12.225762628051477,8,2.8722151568681227,3.153767732411636,-18.27843679474646
cdl_c,300.0,120,10,12.225762628051477,16,2.8937906964914846,2.656007024978655,-18.27843679474646
cdl_c,300.0,120,10,12.225762628051477,32,2.8878648791040336,2.8319016169015923,-18.27843679474646
cdl_c,300.0,120,40,48.90305051220591,1,2.2203407812796687,3.252101448633496,-17.995810137463444
cdl_c,300.0,120,40,48.90305051220591,2,2.650298003135982,3.1124673540532664,-17.995810137463444
cdl_c,300.0,120,40,48.90305051220591,4,2.6614047946997257,2.367002549429489,-17.995810137463444
cdl_c,300.0,120,40,48.90305051220591,8,2.875811351318802,2.9147286229911122,-17.995810137463444
cdl_c,300.0,120,40,48.90305051220591,16,2.748466514678547,2.977945661336304,-17.995810137463444
cdl_c,300.0,120,40,48.90305051220591,32,2.9034359225466577,2.7265297356340357,-17.995810137463444
cdl_c,300.0,120,80,97.80610102441182,1,2.504300605097431,2.9714500412684237,-18.045726452981153
cdl_c,300.0,120,80,97.80610102441182,2,2.5141979101683694,2.2216444631436545,-18.045726452981153
cdl_c,300.0,120,80,97.80610102441182,4,2.696628513480049,3.007504034670453,-18.045726452981153
cdl_c,300.0,120,80,97.80610102441182,8,2.7946935345362123,3.50036850788489,-18.045726452981153
cdl_c,300.0,120,80,97.80610102441182,16,2.852947178878239,1.9520658110860547,-18.045726452981153
cdl_c,300.0,120,80,97.80610102441182,32,2.8341475708790376,2.8763005426425012,-18.045726452981153
cdl_e,2064.0,10,10,1.018813552337623,1,-13.12907819354805,-1.4420002081282923,-20.5753443635578
cdl_e,2064.0,10,10,1.018813552337623,2,-8.612387373793037,3.5619479804524437,-20.5753443635578
cdl_e,2064.0,10,10,1.018813552337623,4,-3.9107109839607714,5.516838077578512,-20.5753443635578
cdl_e,2064.0,10,10,1.018813552337623,8,0.48454365552475426,1.3728703393901507,-20.5753443635578
cdl_e,2064.0,10,10,1.018813552337623,16,3.5548101308893205,4.220983434024719,-20.5753443635578
cdl_e,2064.0,10,10,1.018813552337623,32,3.122244566635035,1.803876393875892,-20.5753443635578
cdl_e,2064.0,10,40,4.075254209350492,1,-0.6707520166366119,5.479539608808134,-18.169562846809868
cdl_e,2064.0,10,40,4.075254209350492,2,0.6510796953932851,1.1550940602068192,-18.169562846809868
cdl_e,2064.0,10,40,4.075254209350492,4,2.461289808791859,4.293234751759179,-18.169562846809868
cdl_e,2064.0,10,40,4.075254209350492,8,2.791536451141817,2.279012058008052,-18.169562846809868
cdl_e,2064.0,10,40,4.075254209350492,16,3.042135154122336,2.810689004556803,-18.169562846809868
cdl_e,2064.0,10,40,4.075254209350492,32,2.833184974572189,2.959444944534665,-18.169562846809868
cdl_e,2064.0,10,80,8.150508418700984,1,-0.015649849424267368,1.3194031002857487,-18.703366090421266
cdl_e,2064.0,10,80,8.150508418700984,2,2.217949277737465,4.293907129027497,-18.703366090421266
cdl_e,2064.0,10,80,8.150508418700984,4,3.188221992253131,1.3364105896746765,-18.703366090421266
cdl_e,2064.0,10,80,8.150508418700984,8,3.0142833887059206,2.7672577717966,-18.703366090421266
cdl_e,2064.0,10,80,8.150508418700984,16,3.0884149582420606,2.828758889298462,-18.703366090421266
cdl_e,2064.0,10,80,8.150508418700984,32,2.8959803811723717,2.7377771049444566,-18.703366090421266
cdl_e,2064.0,30,10,3.0564406570128693,1,-5.123914300105881,5.399866807548525,-18.40278385426888
cdl_e,2064.0,30,10,3.0564406570128693,2,-1.2968010805950199,1.6594241486740393,-18.40278385426888
cdl_e,2064.0,30,10,3.0564406570128693,4,2.4553418211562765,2.5761313251084244,-18.40278385426888
cdl_e,2064.0,30,10,3.0564406570128693,8,3.384913240581052,2.942395199686119,-18.40278385426888
cdl_e,2064.0,30,10,3.0564406570128693,16,2.7621473239177834,3.7805936507351987,-18.40278385426888
cdl_e,2064.0,30,10,3.0564406570128693,32,2.9424231642657395,3.696635945092349,-18.40278385426888
cdl_e,2064.0,30,40,12.225762628051477,1,1.2522689930212527,2.8448239138714477,-18.23033686198427
cdl_e,2064.0,30,40,12.225762628051477,2,2.4331989777496306,2.8693610453428238,-18.23033686198427
cdl_e,2064.0,30,40,12.225762628051477,4,2.527068082606887,3.2739099503852183,-18.23033686198427
cdl_e,2064.0,30,40,12.225762628051477,8,2.911032885490337,3.2224886475842562,-18.23033686198427
cdl_e,2064.0,30,40,12.225762628051477,16,3.0071128460995604,3.1259979680057626,-18.23033686198427
