model,ds_ns,speed_kmh,period_slots,omega_per_frame,horizon,pred_nmse_db,zoh_nmse_db,filt_nmse_db,wiener_ema_db,wiener_param_db,wiener_psd_db,wiener_genie_db
cdl_e,2064.0,60.0,10,6.1128813140257385,1,-2.4475751071164207,1.0622321204906024,-19.185716616169877,-6.527348762640257,-2.1774067082798374,-5.120570646181574,-6.80518269178108
cdl_e,2064.0,60.0,10,6.1128813140257385,2,1.597987787693268,2.573377508010686,-19.185716616169877,-3.0969885251893325,0.030891578661715574,-2.3906542184404196,-3.260100733391243
cdl_e,2064.0,60.0,10,6.1128813140257385,4,3.1330478392323906,2.592446333611347,-19.185716616169877,-2.324149628245734,0.4987248576355283,-1.8902456886148624,-2.490643508234626
cdl_e,2064.0,60.0,10,6.1128813140257385,8,3.051645361277853,3.457626527556747,-19.185716616169877,-2.0476554071980244,0.2016060450246654,-1.5458613347984338,-2.288239759203419
cdl_e,2064.0,60.0,40,24.451525256102954,1,1.1581951723690085,2.712302679304986,-18.323071299828083,-2.6934959595877954,-0.16305097651592687,-2.7173860214797223,-3.2610308804710804
cdl_e,2064.0,60.0,40,24.451525256102954,2,2.3690858747005215,3.465347379260471,-18.323071299828083,-2.2965494971110143,0.5686146682919532,-2.0603620471582853,-2.4737310701264783
cdl_e,2064.0,60.0,40,24.451525256102954,4,2.9815722866398535,3.291216805156576,-18.323071299828083,-2.282149600194913,0.5785379589801681,-1.9238831978117201,-2.4739107528150788
cdl_e,2064.0,60.0,40,24.451525256102954,8,2.797818506632284,2.284272952727872,-18.323071299828083,-1.7855891545890286,0.23908221738504437,-1.425614100658864,-2.002636255997623
cdl_e,2064.0,120.0,10,12.225762628051477,1,1.2419951737441204,2.3554328050237205,-18.3373080447574,7.537441077122827,-0.13128122344491447,-2.70179814178588,-3.2316547832445623
cdl_e,2064.0,120.0,10,12.225762628051477,2,2.1234007640205395,2.87401989434809,-18.3373080447574,3.6833638764030137,0.44804369631810537,-2.455150773319628,-3.0345596779444373
cdl_e,2064.0,120.0,10,12.225762628051477,4,2.730629545634233,3.37538822839275,-18.3373080447574,8.68232635414789,0.5242045480802329,-2.09401962553285,-2.591374838071414
cdl_e,2064.0,120.0,10,12.225762628051477,8,2.882096220231532,3.554027227240817,-18.3373080447574,-1.763365644302124,0.4565596052172244,-1.3889382056372621,-1.980105808891781
cdl_e,2064.0,120.0,40,48.90305051220591,1,1.7289540025937988,3.246329284287282,-18.02447524911014,-2.7524959820901636,0.025236705675342835,-2.3736329570990797,-2.8717824482171306
cdl_e,2064.0,120.0,40,48.90305051220591,2,2.7654008713770684,3.3452159421568113,-18.02447524911014,-2.2779425439233107,0.622773590014968,-1.9776908930615695,-2.3876762639268443
cdl_e,2064.0,120.0,40,48.90305051220591,4,2.669364100661049,2.4224980169295547,-18.02447524911014,-2.0850130990075066,0.4843144520993404,-1.7500899850253604,-2.2245505989295076
cdl_e,2064.0,120.0,40,48.90305051220591,8,2.928765141927881,2.6735263729560614,-18.02447524911014,-1.9730245340689634,0.2884674885603843,-1.55606799097213,-2.1608222403785677
