rank_all,frame_idx,nmse_pf_dB,alpha_mag,srs_abs_slot,gt_abs_slot,gap_slots,sto_samples_pf,in_N30,in_N50
80,31,-5.4943387507890336,0.9524249221323174,20168,20166,2,-0.9986819928264347,0,1
81,42,-5.563956310186341,1.127173279875702,21928,21930,-2,-1.743361045936903,0,1
82,87,-5.846519571794254,1.4314929931599478,29128,29130,-2,-1.273886894437858,0,0
83,72,-6.319871665460761,1.6753176341580631,26728,26724,4,0.04836746525471536,0,0
84,34,-6.3539817480279295,1.8391599760738235,20648,20648,0,-0.7749035290616754,0,1
85,19,-6.578970354251139,1.6328314219953604,18248,18252,-4,-0.5665432843577738,1,1
86,2,-7.11253420252243,2.2035523563909574,14728,14725,3,-1.357564013887349,1,1
87,100,-7.187895478117412,1.6342948685545793,31528,31526,2,-0.8756284149161466,0,0
88,4,-7.337652764131304,2.178384143464241,15048,15046,2,-1.3816025919798829,1,1
89,40,-7.371260467271178,1.6126776874190714,21608,21610,-2,-0.9970903145972178,0,1
90,16,-7.784010400136337,2.211505044403516,17768,17771,-3,-0.7884226956700858,1,1
91,82,-7.90576292024506,1.906318344840548,28328,28328,0,-0.9975112167571595,0,0
92,74,-7.944691399822448,2.40075992130171,27048,27044,4,-0.8638361591283488,0,0
93,1,-7.988312324439425,2.32501051661335,14568,14565,3,-0.6086885813563675,1,1
94,0,-9.926963615721654,2.330849443948782,14408,14405,3,-1.0017184058579596,1,1
95,76,-10.002286982603227,2.522651995385942,27368,27365,3,-0.999852172013826,0,0
96,17,-10.017170622303928,2.2935273952007367,17928,17931,-3,-1.0017260337431475,1,1
97,5,-10.133288316052756,2.349874483577581,15208,15206,2,-1.0015363723389115,1,1
98,75,-10.75945676928994,2.4644463396458747,27208,27205,3,-0.9995604346595767,0,0
99,20,-11.39707363092871,2.9644095932579075,18408,18412,-4,-1.0032608983543607,1,1
100,45,-15.326084303106695,4.068607499803731,22408,22411,-3,-0.9974831240750714,0,1
101,54,-16.183877812441104,3.924216868788849,23848,23846,2,-1.0013889880318996,0,0
